ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S2310-34692025000100007-cub","Estructura, diversidad florística y almacenamiento de carbono en la biomasa aérea de un bosque siempreverde piemontano en la Cordillera del Cóndor-Kutukú","Alvarado-Sarango, Bertha, Ureta-Leones, Diego, Veintinilla-Ramos, Darío, Jaramillo-Díaz, Nelson","Revista Cubana de Ciencias Forestales; 13(1); -","Revista Cubana de Ciencias Forestales","Espanhol","2025","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2310-34692025000100007&lang=pt" 
"S0100-06832025000101102-scl","Soil organic carbon stock in a peat-wetland ecosystem in the Cerrado biome under different land covers and its role in water storage","Souza, Ianna Santana, Horák-Terra, Ingrid, Terra, Fabrício da Silva, Barral, Uidemar Morais, Campos, Hudson Rosemberg Poceschi e, Costa, Leonardo Pereira Silva, Menezes, Caline Patrícia da Silva","Revista Brasileira de Ciência do Solo; 49(); -","Revista Brasileira de Ciência do Solo","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832025000101102&lang=pt" 
"S0104-77602025000100502-scl","Seasonal dynamics of carbon and nutrients in litter in Khaya stands in Southeastern Brazil","Caldeira, Marcos Vinicius Winckler, Gomes, Gabriel Soares Lopes, Momolli, Dione Richer, Gomes, Robert, Duarte, Victor Braga Rodrigues, Faria, Júlio Cézar Tannure, Godinho, Tiago de Oliveira, Dias, Henrique Machado, Pereira, Marcos Gervasio, Kulmann, Matheus Severo de Souza","CERNE; 31(); -","CERNE","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602025000100502&lang=pt" 
"S2179-80872025000200602-scl","Small Rural Atlantic Forest Remnants Might Store Significant Amounts of Carbon: An Example in Southeastern Brazil","Caldeira, Nina, Antunes, Kelly, Vieira, Walef Duarte, Barros, Nathan Oliveira, Carvalho, Fabrício Alvim","Floresta e Ambiente; 32(2); -","Floresta e Ambiente","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-80872025000200602&lang=pt" 
"S0001-37652025000201007-scl","Long-term effects of cattle rearing on vegetation and soil in riparian forests in southern Brazil","MILAGRE, JOCIMAR C., MENDES, LUCAS JOSÉ, SILVA, PEDRO S. DA, SANTOS, WILLIAM RENATO T. DOS, FOCKINK, GUILHERME DIEGO, GRANZOTTO, FABIANE, FONTANA, AGNES ESTELA, SCHENATO, RICARDO B., ROVEDDER, ANA PAULA M.","Anais da Academia Brasileira de Ciências; 97(2); -","Anais da Academia Brasileira de Ciências","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652025000201007&lang=pt" 
"S0100-69162025001000315-scl","RESIDUAL EFFECTS OF COVER CROPS AND SOIL AMENDMENTS ON CARBON CONTENT AND STOCK IN A DEGRADED SOIL","Bonini, Carolina dos S. B., Delfim, Jorge J., Lourencetti, Josiane, Nantes, Laura S., Santos, Melissa A., Souza, José A. L.","Engenharia Agrícola; 45(spe1); -","Engenharia Agrícola","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162025001000315&lang=pt" 
"S2448-76782024000100008-mex","Contabilidad carbono y comités ambientales en empresas de la BMV","Salazar García, Jesús David, Briseño García, Arturo, Cumpean Luna, Joel Alejandro","Investigación administrativa; 53(133); -","Investigación administrativa","Espanhol","2024","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-76782024000100008&lang=pt" 
"S1390-65422024000200001-ecu","Characterization of the Vegetation Community and its Contribution to a Carbon Stock in a Dry Forest","Muentes, Josselyn, Moreira, Juan Manuel, Chata, César, Alcívar, Antonella, Zorrilla, Iliana, Salas-Macías, Carlos A.","Enfoque UTE; 15(2); 1-8","Enfoque UTE","Inglês","2024","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-65422024000200001&lang=pt" 
"S0304-28472024000110553-col","The influence of soil properties on grass and Kob abundance in Kainji Lake National Park, Nigeria","Olajesu, Sunday Oladipo, Akinrinola, Tajudeen Bamidele","Revista Facultad Nacional de Agronomía Medellín; 77(1); 10553-10561","Revista Facultad Nacional de Agronomía Medellín","Inglês","2024","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472024000110553&lang=pt" 
"S1727-99332024000200005-per","Contribución de los fragmentos de vegetación al almacenamiento de carbono en paisajes agrícolas de la Amazonía peruana","Vela Alvarado, Jorge Washinton, Clavo, Zoyla-Mirella, Ramirez-Flores, Noé, Villegas Panduro, Pedro Pablo, Saito Villanueva, Carlos","Revista Peruana de Biología; 31(2); -","Revista Peruana de Biología","Espanhol","2024","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1727-99332024000200005&lang=pt" 
"S0103-90162024000101402-scl","Hierarchical pedotransfer functions for predicting bulk density in Brazilian soils","Reis, Aline Mari Huf dos, Teixeira, Wenceslau Geraldes, Fontana, Ademir, Barros, Alexandre Hugo Cezar, Victoria, Daniel de Castro, Vasques, Gustavo Mattos, Samuel-Rosa, Alessandro, Ottoni, Marta Vasconcelos, Monteiro, José Eduardo Boffino de Almeida","Scientia Agricola; 81(); -","Scientia Agricola","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162024000101402&lang=pt" 
"S1415-43662024000100204-scl","Fertility and carbon stock in pasture and forest environments in the Southern Amazon","Silva, Fernando L., Silva, Marcus H. M. e, S. Oliveira-Júnior, Ernandes, López-Alonso, Marta, Pierangeli, Maria A. P.","Revista Brasileira de Engenharia Agrícola e Ambiental; 28(1); -","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662024000100204&lang=pt" 
"S0100-67622024000100226-scl","MODELING ABOVEGROUND CARBON STOCK UNDER THE FOREST CANOPY INFLUENCE","Gomide, Lucas Rezende, Páscoa, Kalill José Viana da, Silva, Caio Eduardo Vieira Alcantara, Miranda, Evandro Nunes, Carvalho, Mônica Canaan, Scolforo, José Roberto Soares, Mello, Carlos Rogerio de","Revista Árvore; 48(); -","Revista Árvore","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622024000100226&lang=pt" 
"S0100-67622024000100224-scl","LONG-TERM ASSESSMENT OF FIRE-INDUCED CARBON LOSS IN SOUTHEAST ATLANTIC FOREST","Baião, Cheila Flávia de Praga, Massi, Klécia Gilli, Sousa Junior, Wilson Cabral de","Revista Árvore; 48(); -","Revista Árvore","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622024000100224&lang=pt" 
"S0001-37652024000101015-scl","Carbon stock in aboveground biomass and necromass in the Atlantic Forest: an analysis of data published between 2000 and 2021","FONSÊCA, NATHAN C., CUNHA, JÉSSICA STÉFANE A., ALBUQUERQUE, ELIZA R.G.M. DE, LINS-E-SILVA, ANA CAROLINA B.","Anais da Academia Brasileira de Ciências; 96(1); -","Anais da Academia Brasileira de Ciências","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652024000101015&lang=pt" 
